date,loc,latitude,longitude,res,unit
2011-11-18,COCOPAH_INDIAN-CUP 30,32.7371,-114.6817,7.6,None
2011-05-17,COCOPAH_INDIAN-CUP 30,32.7371,-114.6817,7.48,None
2011-11-29,COCOPAH_INDIAN-CUP 30,32.7371,-114.6817,7.63,None
2011-06-22,COCOPAH_INDIAN-CUP 30,32.7371,-114.6817,7.0,None
2011-08-23,COCOPAH_INDIAN-CUP 30,32.7371,-114.6817,7.78,None
2011-01-11,COCOPAH_INDIAN-CUP 30,32.7371,-114.6817,7.34,None
2011-11-08,COCOPAH_INDIAN-CUP 30,32.7371,-114.6817,7.45,None
2011-07-06,COCOPAH_INDIAN-CUP 30,32.7371,-114.6817,7.68,None
2011-10-04,COCOPAH_INDIAN-CUP 30,32.7371,-114.6817,7.35,None
2011-03-21,COCOPAH_INDIAN-CUP 30,32.7371,-114.6817,7.31,None
2011-05-31,COCOPAH_INDIAN-CUP 30,32.7371,-114.6817,7.47,None
2011-06-27,COCOPAH_INDIAN-CUP 30,32.7371,-114.6817,8.09,None
2011-05-10,COCOPAH_INDIAN-CUP 30,32.7371,-114.6817,7.25,None
2011-01-25,COCOPAH_INDIAN-CUP 30,32.7371,-114.6817,7.26,None
2011-12-14,COCOPAH_INDIAN-CUP 30,32.7371,-114.6817,7.4,None
2011-08-16,COCOPAH_INDIAN-CUP 30,32.7371,-114.6817,7.75,None
2011-03-08,COCOPAH_INDIAN-CUP 30,32.7371,-114.6817,7.36,None
2011-01-18,COCOPAH_INDIAN-CUP 30,32.7371,-114.6817,7.23,None
2011-09-20,COCOPAH_INDIAN-CUP 30,32.7371,-114.6817,7.58,None
2011-10-25,COCOPAH_INDIAN-CUP 30,32.7371,-114.6817,7.53,None
2011-02-11,COCOPAH_INDIAN-CUP 30,32.7371,-114.6817,7.33,None
2011-04-26,COCOPAH_INDIAN-CUP 30,32.7371,-114.6817,7.5,None
2011-09-06,COCOPAH_INDIAN-CUP 30,32.7371,-114.6817,7.54,None
2011-08-30,COCOPAH_INDIAN-CUP 30,32.7371,-114.6817,7.63,None
2011-04-05,COCOPAH_INDIAN-CUP 30,32.7371,-114.6817,6.98,None
2011-08-03,COCOPAH_INDIAN-CUP 30,32.7371,-114.6817,7.62,None
2011-02-22,COCOPAH_INDIAN-CUP 30,32.7371,-114.6817,7.18,None
2011-10-18,COCOPAH_INDIAN-CUP 30,32.7371,-114.6817,7.27,None
2011-08-09,COCOPAH_INDIAN-CUP 30,32.7371,-114.6817,7.9,None
2011-01-04,COCOPAH_INDIAN-CUP 30,32.7371,-114.6817,6.9,None
2011-06-08,COCOPAH_INDIAN-CUP 30,32.7371,-114.6817,7.5,None
2011-09-13,COCOPAH_INDIAN-CUP 30,32.7371,-114.6817,7.66,None
2011-03-25,COCOPAH_INDIAN-CUP 30,32.7371,-114.6817,8.13,None
2011-05-24,COCOPAH_INDIAN-CUP 30,32.7371,-114.6817,7.46,None
2011-03-01,COCOPAH_INDIAN-CUP 30,32.7371,-114.6817,7.38,None
2011-09-07,COCOPAH_INDIAN-CUP 30,32.7371,-114.6817,8.19,None
2011-10-11,COCOPAH_INDIAN-CUP 30,32.7371,-114.6817,7.48,None
2011-07-19,COCOPAH_INDIAN-CUP 30,32.7371,-114.6817,7.75,None
2011-03-29,COCOPAH_INDIAN-CUP 30,32.7371,-114.6817,7.2,None
2011-02-01,COCOPAH_INDIAN-CUP 30,32.7371,-114.6817,7.31,None
2012-03-20,COCOPAH_INDIAN-CUP 30,32.7371,-114.6817,7.71,None
2012-01-19,COCOPAH_INDIAN-CUP 30,32.7371,-114.6817,7.83,None
2012-05-15,COCOPAH_INDIAN-CUP 30,32.7371,-114.6817,7.79,None
2012-02-29,COCOPAH_INDIAN-CUP 30,32.7371,-114.6817,7.81,None
2012-04-18,COCOPAH_INDIAN-CUP 30,32.7371,-114.6817,7.85,None
2012-05-22,COCOPAH_INDIAN-CUP 30,32.7371,-114.6817,7.81,None
2012-03-13,COCOPAH_INDIAN-CUP 30,32.7371,-114.6817,7.76,None
2012-03-27,COCOPAH_INDIAN-CUP 30,32.7371,-114.6817,7.73,None
2012-01-03,COCOPAH_INDIAN-CUP 30,32.7371,-114.6817,8.06,None
