Prod. Year,Prod Qtr.,Mine ID,Subunit,Type,Quarterly Hrs.,Coal Prod.,Avg. Empl Cnt.
2013,20131,0200137,03,"STRIP, QUARY, OPEN PIT","270,574 ",0 ,565 
2013,20131,0200137,30,MILL OPERATION/PREPARATION PLANT,"142,765 ",0 ,259 
2013,20131,0200137,99,OFFICE WORKERS AT MINE SITE,"54,668 ",0 ,112 
2013,20132,0200137,03,"STRIP, QUARY, OPEN PIT","282,651 ",0 ,582 
2013,20132,0200137,30,MILL OPERATION/PREPARATION PLANT,"137,948 ",0 ,256 
2013,20132,0200137,99,OFFICE WORKERS AT MINE SITE,"57,354 ",0 ,114 
2013,20133,0200137,03,"STRIP, QUARY, OPEN PIT","276,213 ",0 ,569 
2013,20133,0200137,30,MILL OPERATION/PREPARATION PLANT,"126,485 ",0 ,244 
2013,20133,0200137,99,OFFICE WORKERS AT MINE SITE,"54,913 ",0 ,111 
2013,20134,0200137,03,"STRIP, QUARY, OPEN PIT","276,918 ",0 ,569 
2013,20134,0200137,30,MILL OPERATION/PREPARATION PLANT,"115,634 ",0 ,237 
2013,20134,0200137,99,OFFICE WORKERS AT MINE SITE,"53,529 ",0 ,110 
2012,20121,0200137,03,"STRIP, QUARY, OPEN PIT","270,064 ",0 ,527 
2012,20121,0200137,30,MILL OPERATION/PREPARATION PLANT,"141,156 ",0 ,222 
2012,20121,0200137,99,OFFICE WORKERS AT MINE SITE,"54,437 ",0 ,102 
2012,20122,0200137,03,"STRIP, QUARY, OPEN PIT","285,897 ",0 ,573 
2012,20122,0200137,30,MILL OPERATION/PREPARATION PLANT,"156,313 ",0 ,212 
2012,20122,0200137,99,OFFICE WORKERS AT MINE SITE,"52,396 ",0 ,107 
2012,20123,0200137,03,"STRIP, QUARY, OPEN PIT","285,217 ",0 ,568 
2012,20123,0200137,30,MILL OPERATION/PREPARATION PLANT,"143,408 ",0 ,253 
2012,20123,0200137,99,OFFICE WORKERS AT MINE SITE,"56,592 ",0 ,112 
2012,20124,0200137,03,"STRIP, QUARY, OPEN PIT","280,808 ",0 ,567 
2012,20124,0200137,30,MILL OPERATION/PREPARATION PLANT,"134,011 ",0 ,251 
2012,20124,0200137,99,OFFICE WORKERS AT MINE SITE,"55,471 ",0 ,111 
2011,20111,0200137,03,"STRIP, QUARY, OPEN PIT","243,009 ",0 ,479 
2011,20111,0200137,30,MILL OPERATION/PREPARATION PLANT,"129,806 ",0 ,224 
2011,20111,0200137,99,OFFICE WORKERS AT MINE SITE,"50,839 ",0 ,96 
2011,20112,0200137,03,"STRIP, QUARY, OPEN PIT","255,576 ",0 ,493 
2011,20112,0200137,30,MILL OPERATION/PREPARATION PLANT,"128,088 ",0 ,221 
2011,20112,0200137,99,OFFICE WORKERS AT MINE SITE,"52,317 ",0 ,97 
2011,20113,0200137,03,"STRIP, QUARY, OPEN PIT","262,882 ",0 ,505 
2011,20113,0200137,30,MILL OPERATION/PREPARATION PLANT,"129,795 ",0 ,221 
2011,20113,0200137,99,OFFICE WORKERS AT MINE SITE,"53,546 ",0 ,99 
2011,20114,0200137,03,"STRIP, QUARY, OPEN PIT","259,294 ",0 ,527 
2011,20114,0200137,30,MILL OPERATION/PREPARATION PLANT,"129,201 ",0 ,220 
2011,20114,0200137,99,OFFICE WORKERS AT MINE SITE,"52,976 ",0 ,102 
2010,20101,0200137,03,"STRIP, QUARY, OPEN PIT","233,574 ",0 ,470 
2010,20101,0200137,30,MILL OPERATION/PREPARATION PLANT,"124,465 ",0 ,222 
2010,20101,0200137,99,OFFICE WORKERS AT MINE SITE,"48,823 ",0 ,94 
2010,20102,0200137,03,"STRIP, QUARY, OPEN PIT","241,668 ",0 ,465 
2010,20102,0200137,30,MILL OPERATION/PREPARATION PLANT,"126,828 ",0 ,222 
2010,20102,0200137,99,OFFICE WORKERS AT MINE SITE,"50,250 ",0 ,93 
2010,20103,0200137,03,"STRIP, QUARY, OPEN PIT","240,401 ",0 ,451 
2010,20103,0200137,30,MILL OPERATION/PREPARATION PLANT,"130,940 ",0 ,241 
2010,20103,0200137,99,OFFICE WORKERS AT MINE SITE,"50,638 ",0 ,94 
2010,20104,0200137,03,"STRIP, QUARY, OPEN PIT","230,142 ",0 ,473 
2010,20104,0200137,30,MILL OPERATION/PREPARATION PLANT,"125,663 ",0 ,227 
2010,20104,0200137,99,OFFICE WORKERS AT MINE SITE,"48,519 ",0 ,95 
2009,20091,0200137,03,"STRIP, QUARY, OPEN PIT","243,959 ",0 ,498 
2009,20091,0200137,30,MILL OPERATION/PREPARATION PLANT,"119,074 ",0 ,221 
2009,20091,0200137,99,OFFICE WORKERS AT MINE SITE,"49,504 ",0 ,98 
2009,20092,0200137,03,"STRIP, QUARY, OPEN PIT","238,359 ",0 ,488 
2009,20092,0200137,30,MILL OPERATION/PREPARATION PLANT,"128,233 ",0 ,227 
2009,20092,0200137,99,OFFICE WORKERS AT MINE SITE,"49,989 ",0 ,98 
2009,20093,0200137,03,"STRIP, QUARY, OPEN PIT","242,011 ",0 ,485 
2009,20093,0200137,30,MILL OPERATION/PREPARATION PLANT,"131,429 ",0 ,228 
2009,20093,0200137,99,OFFICE WORKERS AT MINE SITE,"50,923 ",0 ,97 
2009,20094,0200137,03,"STRIP, QUARY, OPEN PIT","241,329 ",0 ,481 
