Prod. Year,Prod Qtr.,Mine ID,Subunit,Type,Quarterly Hrs.,Coal Prod.,Avg. Empl Cnt.*
2013,20132,0200144,99,OFFICE WORKERS AT MINE SITE,"90,424 ",0 ,177 
2013,20133,0200144,03,"STRIP, QUARY, OPEN PIT","242,303 ",0 ,361 
2013,20133,0200144,30,MILL OPERATION/PREPARATION PLANT,"415,530 ",0 ,742 
2013,20133,0200144,99,OFFICE WORKERS AT MINE SITE,"103,140 ",0 ,195 
2013,20134,0200144,03,"STRIP, QUARY, OPEN PIT","184,720 ",0 ,363 
2013,20134,0200144,30,MILL OPERATION/PREPARATION PLANT,"363,800 ",0 ,733 
2013,20134,0200144,99,OFFICE WORKERS AT MINE SITE,"93,277 ",0 ,189 
2012,20121,0200144,03,"STRIP, QUARY, OPEN PIT","186,965 ",0 ,349 
2012,20121,0200144,30,MILL OPERATION/PREPARATION PLANT,"374,388 ",0 ,731 
2012,20121,0200144,99,OFFICE WORKERS AT MINE SITE,"54,366 ",0 ,80 
2012,20122,0200144,03,"STRIP, QUARY, OPEN PIT","189,713 ",0 ,343 
2012,20122,0200144,30,MILL OPERATION/PREPARATION PLANT,"364,516 ",0 ,725 
2012,20122,0200144,99,OFFICE WORKERS AT MINE SITE,"79,816 ",0 ,101 
2012,20123,0200144,03,"STRIP, QUARY, OPEN PIT","197,935 ",0 ,352 
2012,20123,0200144,30,MILL OPERATION/PREPARATION PLANT,"358,907 ",0 ,707 
2012,20123,0200144,99,OFFICE WORKERS AT MINE SITE,"105,921 ",0 ,197 
2012,20124,0200144,03,"STRIP, QUARY, OPEN PIT","195,114 ",0 ,356 
2012,20124,0200144,30,MILL OPERATION/PREPARATION PLANT,"340,003 ",0 ,702 
2012,20124,0200144,99,OFFICE WORKERS AT MINE SITE,"95,898 ",0 ,179 
2011,20111,0200144,03,"STRIP, QUARY, OPEN PIT","174,507 ",0 ,350 
2011,20111,0200144,30,MILL OPERATION/PREPARATION PLANT,"350,309 ",0 ,705 
2011,20111,0200144,99,OFFICE WORKERS AT MINE SITE,"29,496 ",0 ,60 
2011,20112,0200144,03,"STRIP, QUARY, OPEN PIT","166,080 ",0 ,346 
2011,20112,0200144,30,MILL OPERATION/PREPARATION PLANT,"341,280 ",0 ,711 
2011,20112,0200144,99,OFFICE WORKERS AT MINE SITE,"29,280 ",0 ,61 
2011,20113,0200144,03,"STRIP, QUARY, OPEN PIT","162,720 ",0 ,339 
2011,20113,0200144,30,MILL OPERATION/PREPARATION PLANT,"341,280 ",0 ,711 
2011,20113,0200144,99,OFFICE WORKERS AT MINE SITE,"26,400 ",0 ,55 
2011,20114,0200144,03,"STRIP, QUARY, OPEN PIT","166,560 ",0 ,347 
2011,20114,0200144,30,MILL OPERATION/PREPARATION PLANT,"348,480 ",0 ,726 
2011,20114,0200144,99,OFFICE WORKERS AT MINE SITE,"38,400 ",0 ,80 
2010,20101,0200144,03,"STRIP, QUARY, OPEN PIT","158,727 ",0 ,318 
2010,20101,0200144,30,MILL OPERATION/PREPARATION PLANT,"327,046 ",0 ,646 
2010,20101,0200144,99,OFFICE WORKERS AT MINE SITE,"24,643 ",0 ,44 
2010,20102,0200144,03,"STRIP, QUARY, OPEN PIT","167,435 ",0 ,333 
2010,20102,0200144,30,MILL OPERATION/PREPARATION PLANT,"334,696 ",0 ,670 
2010,20102,0200144,99,OFFICE WORKERS AT MINE SITE,"25,461 ",0 ,51 
2010,20103,0200144,03,"STRIP, QUARY, OPEN PIT","176,528 ",0 ,345 
2010,20103,0200144,30,MILL OPERATION/PREPARATION PLANT,"352,408 ",0 ,684 
2010,20103,0200144,99,OFFICE WORKERS AT MINE SITE,"28,133 ",0 ,56 
2010,20104,0200144,03,"STRIP, QUARY, OPEN PIT","174,507 ",0 ,340 
2010,20104,0200144,30,MILL OPERATION/PREPARATION PLANT,"350,309 ",0 ,691 
