Prod. Year,Prod Qtr.,Mine ID,Subunit,Type,Quarterly Hrs.,Coal Prod.,Avg. Empl Cnt.
2012,20124,0200150,99,OFFICE WORKERS AT MINE SITE,"37,119 ",0 ,80 
2011,20111,0200150,03,"STRIP, QUARY, OPEN PIT","287,849 ",0 ,545 
2011,20111,0200150,30,MILL OPERATION/PREPARATION PLANT,"98,982 ",0 ,198 
2011,20111,0200150,99,OFFICE WORKERS AT MINE SITE,"31,724 ",0 ,66 
2011,20112,0200150,03,"STRIP, QUARY, OPEN PIT","272,291 ",0 ,515 
2011,20112,0200150,30,MILL OPERATION/PREPARATION PLANT,"98,595 ",0 ,182 
2011,20112,0200150,99,OFFICE WORKERS AT MINE SITE,"31,180 ",0 ,74 
2011,20113,0200150,03,"STRIP, QUARY, OPEN PIT","297,091 ",0 ,559 
2011,20113,0200150,30,MILL OPERATION/PREPARATION PLANT,"105,284 ",0 ,217 
2011,20113,0200150,99,OFFICE WORKERS AT MINE SITE,"30,779 ",0 ,63 
2011,20114,0200150,03,"STRIP, QUARY, OPEN PIT","296,782 ",0 ,584 
2011,20114,0200150,30,MILL OPERATION/PREPARATION PLANT,"102,106 ",0 ,166 
2011,20114,0200150,99,OFFICE WORKERS AT MINE SITE,"36,133 ",0 ,64 
2010,20101,0200150,03,"STRIP, QUARY, OPEN PIT","239,570 ",0 ,357 
2010,20101,0200150,30,MILL OPERATION/PREPARATION PLANT,"172,658 ",0 ,240 
2010,20101,0200150,99,OFFICE WORKERS AT MINE SITE,"25,347 ",0 ,73 
2010,20102,0200150,03,"STRIP, QUARY, OPEN PIT","296,270 ",0 ,560 
2010,20102,0200150,30,MILL OPERATION/PREPARATION PLANT,"99,726 ",0 ,185 
2010,20102,0200150,99,OFFICE WORKERS AT MINE SITE,"31,179 ",0 ,80 
2010,20103,0200150,03,"STRIP, QUARY, OPEN PIT","282,377 ",0 ,525 
2010,20103,0200150,30,MILL OPERATION/PREPARATION PLANT,"97,225 ",0 ,178 
2010,20103,0200150,99,OFFICE WORKERS AT MINE SITE,"30,721 ",0 ,95 
2010,20104,0200150,03,"STRIP, QUARY, OPEN PIT","304,429 ",0 ,549 
2010,20104,0200150,30,MILL OPERATION/PREPARATION PLANT,"98,388 ",0 ,188 
2010,20104,0200150,99,OFFICE WORKERS AT MINE SITE,"27,794 ",0 ,63 
2009,20091,0200150,03,"STRIP, QUARY, OPEN PIT","303,153 ",0 ,560 
2009,20091,0200150,30,MILL OPERATION/PREPARATION PLANT,"50,202 ",0 ,112 
2009,20091,0200150,99,OFFICE WORKERS AT MINE SITE,"15,064 ",0 ,23 
2009,20092,0200150,03,"STRIP, QUARY, OPEN PIT","275,944 ",0 ,556 
2009,20092,0200150,30,MILL OPERATION/PREPARATION PLANT,"45,537 ",0 ,102 
