Prod Qtr.,Mine ID,Subunit,Type,Quarterly Hrs.,Coal Prod.,Avg. Empl Cnt.*
20153,0200024,03,"STRIP, QUARY, OPEN PIT","788,980 ",0 ,"1,380 "
20153,0200024,30,MILL OPERATION/PREPARATION PLANT,"772,981 ",0 ,"1,379 "
20153,0200024,99,OFFICE WORKERS AT MINE SITE,"200,914 ",0 ,403 
20153,0200024,Total,,"1,762,875 ",0 ,"3,162 "
20152,0200024,03,"STRIP, QUARY, OPEN PIT","762,089 ",0 ,"1,389 "
20152,0200024,30,MILL OPERATION/PREPARATION PLANT,"745,307 ",0 ,"1,348 "
20152,0200024,99,OFFICE WORKERS AT MINE SITE,"377,707 ",0 ,411 
20152,0200024,Total,,"1,885,103 ",0 ,"3,148 "
20151,0200024,03,"STRIP, QUARY, OPEN PIT","751,606 ",0 ,"1,427 "
20151,0200024,30,MILL OPERATION/PREPARATION PLANT,"693,217 ",0 ,"1,284 "
20151,0200024,99,OFFICE WORKERS AT MINE SITE,"5,729 ",0 ,330 
20151,0200024,Total,,"1,450,552 ",0 ,"3,041 "
20144,0200024,03,"STRIP, QUARY, OPEN PIT","793,149 ",0 ,"1,493 "
20144,0200024,30,MILL OPERATION/PREPARATION PLANT,"653,578 ",0 ,"1,201 "
20144,0200024,99,OFFICE WORKERS AT MINE SITE,"184,198 ",0 ,473 
20144,0200024,Total,,"1,630,925 ",0 ,"3,167 "
20143,0200024,03,"STRIP, QUARY, OPEN PIT","786,929 ",0 ,"1,410 "
20143,0200024,30,MILL OPERATION/PREPARATION PLANT,"699,805 ",0 ,"1,127 "
20143,0200024,99,OFFICE WORKERS AT MINE SITE,"192,756 ",0 ,468 
20143,0200024,Total,,"1,679,490 ",0 ,"3,005 "
20142,0200024,03,"STRIP, QUARY, OPEN PIT","758,363 ",0 ,"1,532 "
20142,0200024,30,MILL OPERATION/PREPARATION PLANT,"669,415 ",0 ,"1,222 "
20142,0200024,99,OFFICE WORKERS AT MINE SITE,"180,346 ",0 ,468 
20142,0200024,Total,,"1,608,124 ",0 ,"3,222 "
20141,0200024,03,"STRIP, QUARY, OPEN PIT","776,787 ",0 ,"1,455 "
20141,0200024,30,MILL OPERATION/PREPARATION PLANT,"615,998 ",0 ,"1,100 "
20141,0200024,99,OFFICE WORKERS AT MINE SITE,"152,209 ",0 ,468 
20141,0200024,Total,,"1,544,994 ",0 ,"3,023 "
20134,0200024,03,"STRIP, QUARY, OPEN PIT","741,886 ",0 ,"1,363 "
20134,0200024,30,MILL OPERATION/PREPARATION PLANT,"573,284 ",0 ,"1,148 "
20134,0200024,99,OFFICE WORKERS AT MINE SITE,"190,255 ",0 ,395 
20134,0200024,Total,,"1,505,425 ",0 ,"2,906 "
20133,0200024,03,"STRIP, QUARY, OPEN PIT","745,501 ",0 ,"1,358 "
20133,0200024,30,MILL OPERATION/PREPARATION PLANT,"553,542 ",0 ,"1,110 "
20133,0200024,99,OFFICE WORKERS AT MINE SITE,"198,711 ",0 ,426 
20133,0200024,Total,,"1,497,754 ",0 ,"2,894 "
20132,0200024,03,"STRIP, QUARY, OPEN PIT","765,449 ",0 ,"1,406 "
20132,0200024,30,MILL OPERATION/PREPARATION PLANT,"543,243 ",0 ,"1,004 "
20132,0200024,99,OFFICE WORKERS AT MINE SITE,"223,974 ",0 ,423 
20132,0200024,Total,,"1,532,666 ",0 ,"2,833 "
20131,0200024,03,"STRIP, QUARY, OPEN PIT","712,144 ",0 ,"1,340 "
20131,0200024,30,MILL OPERATION/PREPARATION PLANT,"522,423 ",0 ,987 
20131,0200024,99,OFFICE WORKERS AT MINE SITE,"186,381 ",0 ,401 
20131,0200024,Total,,"1,420,948 ",0 ,"2,728 "
20124,0200024,03,"STRIP, QUARY, OPEN PIT","719,724 ",0 ,"1,310 "
20124,0200024,30,MILL OPERATION/PREPARATION PLANT,"496,775 ",0 ,954 
20124,0200024,99,OFFICE WORKERS AT MINE SITE,"182,653 ",0 ,408 
20124,0200024,Total,,"1,399,152 ",0 ,"2,672 "
20123,0200024,03,"STRIP, QUARY, OPEN PIT","716,958 ",0 ,"1,292 "
20123,0200024,30,MILL OPERATION/PREPARATION PLANT,"520,465 ",0 ,945 
20123,0200024,99,OFFICE WORKERS AT MINE SITE,"196,928 ",0 ,400 
20123,0200024,Total,,"1,434,351 ",0 ,"2,637 "
20122,0200024,03,"STRIP, QUARY, OPEN PIT","694,550 ",0 ,"1,274 "
20122,0200024,30,MILL OPERATION/PREPARATION PLANT,"535,470 ",0 ,949 
20122,0200024,99,OFFICE WORKERS AT MINE SITE,"187,065 ",0 ,421 
20122,0200024,Total,,"1,417,085 ",0 ,"2,644 "
20121,0200024,03,"STRIP, QUARY, OPEN PIT","677,690 ",0 ,"1,225 "
20121,0200024,30,MILL OPERATION/PREPARATION PLANT,"534,237 ",0 ,963 
20121,0200024,99,OFFICE WORKERS AT MINE SITE,"200,356 ",0 ,382 
20121,0200024,Total,,"1,412,283 ",0 ,"2,570 "
20114,0200024,03,"STRIP, QUARY, OPEN PIT","646,673 ",0 ,"1,177 "
20114,0200024,30,MILL OPERATION/PREPARATION PLANT,"513,957 ",0 ,957 
20114,0200024,99,OFFICE WORKERS AT MINE SITE,"183,953 ",0 ,374 
20114,0200024,Total,,"1,344,583 ",0 ,"2,508 "
20113,0200024,03,"STRIP, QUARY, OPEN PIT","665,700 ",0 ,"1,161 "
20113,0200024,30,MILL OPERATION/PREPARATION PLANT,"548,972 ",0 ,847 
20113,0200024,99,OFFICE WORKERS AT MINE SITE,"193,315 ",0 ,388 
20113,0200024,Total,,"1,407,987 ",0 ,"2,396 "
20112,0200024,03,"STRIP, QUARY, OPEN PIT","671,949 ",0 ,"1,220 "
20112,0200024,30,MILL OPERATION/PREPARATION PLANT,"529,430 ",0 ,988 
20112,0200024,99,OFFICE WORKERS AT MINE SITE,"135,810 ",0 ,270 
20112,0200024,Total,,"1,337,189 ",0 ,"2,478 "
20111,0200024,03,"STRIP, QUARY, OPEN PIT","635,124 ",0 ,"1,156 "
20111,0200024,30,MILL OPERATION/PREPARATION PLANT,"533,695 ",0 ,964 
20111,0200024,99,OFFICE WORKERS AT MINE SITE,"118,767 ",0 ,237 
20111,0200024,Total,,"1,287,586 ",0 ,"2,357 "
20104,0200024,03,"STRIP, QUARY, OPEN PIT","593,697 ",0 ,"1,066 "
20104,0200024,30,MILL OPERATION/PREPARATION PLANT,"514,336 ",0 ,980 
20104,0200024,99,OFFICE WORKERS AT MINE SITE,"115,931 ",0 ,240 
20104,0200024,Total,,"1,223,964 ",0 ,"2,286 "
20103,0200024,03,"STRIP, QUARY, OPEN PIT","578,948 ",0 ,"1,036 "
20103,0200024,30,MILL OPERATION/PREPARATION PLANT,"500,207 ",0 ,919 
20103,0200024,99,OFFICE WORKERS AT MINE SITE,"115,100 ",0 ,230 
20103,0200024,Total,,"1,194,255 ",0 ,"2,185 "
20102,0200024,03,"STRIP, QUARY, OPEN PIT","526,312 ",0 ,953 
20102,0200024,30,MILL OPERATION/PREPARATION PLANT,"475,977 ",0 ,874 
20102,0200024,99,OFFICE WORKERS AT MINE SITE,"108,569 ",0 ,222 
20102,0200024,Total,,"1,110,858 ",0 ,"2,049 "
20101,0200024,03,"STRIP, QUARY, OPEN PIT","491,085 ",0 ,916 
20101,0200024,30,MILL OPERATION/PREPARATION PLANT,"435,659 ",0 ,834 
20101,0200024,99,OFFICE WORKERS AT MINE SITE,"98,984 ",0 ,211 
20101,0200024,Total,,"1,025,728 ",0 ,"1,961 "
20094,0200024,03,"STRIP, QUARY, OPEN PIT","495,684 ",0 ,883 
20094,0200024,30,MILL OPERATION/PREPARATION PLANT,"366,722 ",0 ,668 
20094,0200024,99,OFFICE WORKERS AT MINE SITE,"95,666 ",0 ,328 
20094,0200024,Total,,"958,072 ",0 ,"1,879 "
20093,0200024,03,"STRIP, QUARY, OPEN PIT","492,923 ",0 ,875 
20093,0200024,30,MILL OPERATION/PREPARATION PLANT,"377,564 ",0 ,654 
20093,0200024,99,OFFICE WORKERS AT MINE SITE,"101,139 ",0 ,341 
20093,0200024,Total,,"971,626 ",0 ,"1,870 "
20092,0200024,03,"STRIP, QUARY, OPEN PIT","467,919 ",0 ,953 
20092,0200024,30,MILL OPERATION/PREPARATION PLANT,"346,262 ",0 ,691 
20092,0200024,99,OFFICE WORKERS AT MINE SITE,"95,797 ",0 ,200 
20092,0200024,Total,,"909,978 ",0 ,"1,844 "
20091,0200024,03,"STRIP, QUARY, OPEN PIT","640,341 ",0 ,"1,492 "
20091,0200024,30,MILL OPERATION/PREPARATION PLANT,"508,341 ",0 ,"1,074 "
20091,0200024,99,OFFICE WORKERS AT MINE SITE,"68,768 ",0 ,177 
20091,0200024,Total,,"1,217,450 ",0 ,"2,743 "
20084,0200024,03,"STRIP, QUARY, OPEN PIT","1,156,451 ",0 ,"2,158 "
20084,0200024,30,MILL OPERATION/PREPARATION PLANT,"776,077 ",0 ,"1,465 "
20084,0200024,99,OFFICE WORKERS AT MINE SITE,"83,566 ",0 ,173 
20084,0200024,Total,,"2,016,094 ",0 ,"3,796 "
20083,0200024,03,"STRIP, QUARY, OPEN PIT","1,265,762 ",0 ,"2,284 "
20083,0200024,30,MILL OPERATION/PREPARATION PLANT,"818,987 ",0 ,"1,489 "
20083,0200024,99,OFFICE WORKERS AT MINE SITE,"92,905 ",0 ,186 
20083,0200024,Total,,"2,177,654 ",0 ,"3,959 "
20082,0200024,03,"STRIP, QUARY, OPEN PIT","1,155,295 ",0 ,"2,151 "
20082,0200024,30,MILL OPERATION/PREPARATION PLANT,"818,877 ",0 ,"1,502 "
20082,0200024,99,OFFICE WORKERS AT MINE SITE,"10,637 ",0 ,20 
20082,0200024,Total,,"1,984,809 ",0 ,"3,673 "
20081,0200024,03,"STRIP, QUARY, OPEN PIT","1,065,361 ",0 ,"1,834 "
20081,0200024,30,MILL OPERATION/PREPARATION PLANT,"791,083 ",0 ,"1,671 "
20081,0200024,99,OFFICE WORKERS AT MINE SITE,"11,565 ",0 ,20 
20081,0200024,Total,,"1,868,009 ",0 ,"3,525 "
20074,0200024,03,"STRIP, QUARY, OPEN PIT","1,013,589 ",0 ,"1,938 "
20074,0200024,30,MILL OPERATION/PREPARATION PLANT,"771,096 ",0 ,"1,478 "
20074,0200024,99,OFFICE WORKERS AT MINE SITE,"10,301 ",0 ,20 
20074,0200024,Total,,"1,794,986 ",0 ,"3,436 "
20073,0200024,03,"STRIP, QUARY, OPEN PIT","982,660 ",0 ,"1,799 "
20073,0200024,30,MILL OPERATION/PREPARATION PLANT,"760,830 ",0 ,"1,531 "
20073,0200024,99,OFFICE WORKERS AT MINE SITE,"10,219 ",0 ,20 
20073,0200024,Total,,"1,753,709 ",0 ,"3,350 "
20072,0200024,03,"STRIP, QUARY, OPEN PIT","861,634 ",0 ,"1,492 "
20072,0200024,30,MILL OPERATION/PREPARATION PLANT,"693,761 ",0 ,"1,492 "
20072,0200024,99,OFFICE WORKERS AT MINE SITE,"11,731 ",0 ,20 
20072,0200024,Total,,"1,567,126 ",0 ,"3,004 "
20071,0200024,03,"STRIP, QUARY, OPEN PIT","800,202 ",0 ,"1,435 "
20071,0200024,30,MILL OPERATION/PREPARATION PLANT,"708,274 ",0 ,"1,435 "
20071,0200024,99,OFFICE WORKERS AT MINE SITE,"10,673 ",0 ,20 
20071,0200024,Total,,"1,519,149 ",0 ,"2,890 "
20064,0200024,03,"STRIP, QUARY, OPEN PIT","798,101 ",0 ,"1,412 "
20064,0200024,30,MILL OPERATION/PREPARATION PLANT,"645,315 ",0 ,"1,412 "
20064,0200024,99,OFFICE WORKERS AT MINE SITE,"9,411 ",0 ,20 
20064,0200024,Total,,"1,452,827 ",0 ,"2,844 "
20063,0200024,03,"STRIP, QUARY, OPEN PIT","812,194 ",0 ,"1,380 "
20063,0200024,30,MILL OPERATION/PREPARATION PLANT,"660,645 ",0 ,"1,380 "
