Prod. Year,Prod Qtr.,Mine ID,Subunit,Type,Quarterly Hrs.,Coal Prod.,Avg. Empl Cnt.*
2012,20121,0201049,03,"STRIP, QUARY, OPEN PIT",0 ,0 ,0 
2012,20121,0201049,30,MILL OPERATION/PREPARATION PLANT,"45,021 ",0 ,81 
2012,20121,0201049,99,OFFICE WORKERS AT MINE SITE,"11,672 ",0 ,21 
2012,20122,0201049,03,"STRIP, QUARY, OPEN PIT",0 ,0 ,0 
2012,20122,0201049,30,MILL OPERATION/PREPARATION PLANT,"45,534 ",0 ,84 
2012,20122,0201049,99,OFFICE WORKERS AT MINE SITE,"16,802 ",0 ,31 
2012,20123,0201049,03,"STRIP, QUARY, OPEN PIT","19,352 ",0 ,41 
2012,20123,0201049,30,MILL OPERATION/PREPARATION PLANT,"90,509 ",0 ,191 
2012,20123,0201049,99,OFFICE WORKERS AT MINE SITE,"17,863 ",0 ,37 
2012,20124,0201049,03,"STRIP, QUARY, OPEN PIT","42,933 ",0 ,80 
2012,20124,0201049,30,MILL OPERATION/PREPARATION PLANT,"145,335 ",0 ,271 
2012,20124,0201049,99,OFFICE WORKERS AT MINE SITE,"66,696 ",0 ,136 
2011,20111,0201049,03,"STRIP, QUARY, OPEN PIT",0 ,0 ,0 
2011,20111,0201049,30,MILL OPERATION/PREPARATION PLANT,"36,825 ",0 ,78 
2011,20111,0201049,99,OFFICE WORKERS AT MINE SITE,"9,442 ",0 ,20 
2011,20112,0201049,03,"STRIP, QUARY, OPEN PIT",0 ,0 ,0 
2011,20112,0201049,30,MILL OPERATION/PREPARATION PLANT,"37,871 ",0 ,80 
2011,20112,0201049,99,OFFICE WORKERS AT MINE SITE,"10,414 ",0 ,22 
2011,20113,0201049,03,"STRIP, QUARY, OPEN PIT",0 ,0 ,0 
2011,20113,0201049,30,MILL OPERATION/PREPARATION PLANT,"41,236 ",0 ,83 
2011,20113,0201049,99,OFFICE WORKERS AT MINE SITE,"10,930 ",0 ,22 
2011,20114,0201049,03,"STRIP, QUARY, OPEN PIT",0 ,0 ,0 
2011,20114,0201049,30,MILL OPERATION/PREPARATION PLANT,"42,828 ",0 ,84 
2011,20114,0201049,99,OFFICE WORKERS AT MINE SITE,"12,237 ",0 ,24 
2010,20101,0201049,03,"STRIP, QUARY, OPEN PIT",0 ,0 ,0 
2010,20101,0201049,30,MILL OPERATION/PREPARATION PLANT,"38,939 ",0 ,79 
2010,20101,0201049,99,OFFICE WORKERS AT MINE SITE,"10,351 ",0 ,21 
2010,20102,0201049,03,"STRIP, QUARY, OPEN PIT",0 ,0 ,0 
2010,20102,0201049,30,MILL OPERATION/PREPARATION PLANT,"37,409 ",0 ,79 
2010,20102,0201049,99,OFFICE WORKERS AT MINE SITE,"9,944 ",0 ,21 
2010,20103,0201049,03,"STRIP, QUARY, OPEN PIT",0 ,0 ,0 
2010,20103,0201049,30,MILL OPERATION/PREPARATION PLANT,"38,130 ",0 ,79 
2010,20103,0201049,99,OFFICE WORKERS AT MINE SITE,"10,136 ",0 ,21 
2010,20104,0201049,03,"STRIP, QUARY, OPEN PIT",0 ,0 ,0 
2010,20104,0201049,30,MILL OPERATION/PREPARATION PLANT,"35,585 ",0 ,78 
2010,20104,0201049,99,OFFICE WORKERS AT MINE SITE,"9,125 ",0 ,20 
2009,20091,0201049,03,"STRIP, QUARY, OPEN PIT","3,835 ",0 ,12 
2009,20091,0201049,30,MILL OPERATION/PREPARATION PLANT,"88,081 ",0 ,266 
2009,20091,0201049,99,OFFICE WORKERS AT MINE SITE,"28,205 ",0 ,61 
2009,20092,0201049,03,"STRIP, QUARY, OPEN PIT","2,103 ",0 ,5 
2009,20092,0201049,30,MILL OPERATION/PREPARATION PLANT,"43,653 ",0 ,104 
2009,20092,0201049,99,OFFICE WORKERS AT MINE SITE,"12,530 ",0 ,33 
2009,20093,0201049,03,"STRIP, QUARY, OPEN PIT",464 ,0 ,1 
2009,20093,0201049,30,MILL OPERATION/PREPARATION PLANT,"36,753 ",0 ,79 
2009,20093,0201049,99,OFFICE WORKERS AT MINE SITE,"9,770 ",0 ,21 
2009,20094,0201049,03,"STRIP, QUARY, OPEN PIT",0 ,0 ,0 
2009,20094,0201049,30,MILL OPERATION/PREPARATION PLANT,"36,539 ",0 ,79 
2009,20094,0201049,99,OFFICE WORKERS AT MINE SITE,"9,712 ",0 ,21 
2008,20081,0201049,03,"STRIP, QUARY, OPEN PIT","5,995 ",0 ,12 
2008,20081,0201049,30,MILL OPERATION/PREPARATION PLANT,"136,034 ",0 ,271 
2008,20081,0201049,99,OFFICE WORKERS AT MINE SITE,"26,104 ",0 ,52 
2008,20082,0201049,03,"STRIP, QUARY, OPEN PIT","6,570 ",0 ,13 
2008,20082,0201049,30,MILL OPERATION/PREPARATION PLANT,"143,028 ",0 ,283 
2008,20082,0201049,99,OFFICE WORKERS AT MINE SITE,"26,281 ",0 ,52 
2008,20083,0201049,03,"STRIP, QUARY, OPEN PIT","4,269 ",0 ,10 
2008,20083,0201049,30,MILL OPERATION/PREPARATION PLANT,"152,529 ",0 ,299 
2008,20083,0201049,99,OFFICE WORKERS AT MINE SITE,"28,415 ",0 ,63 
2008,20084,0201049,03,"STRIP, QUARY, OPEN PIT","5,079 ",0 ,12 
2008,20084,0201049,30,MILL OPERATION/PREPARATION PLANT,"147,361 ",0 ,302 
2008,20084,0201049,99,OFFICE WORKERS AT MINE SITE,"29,765 ",0 ,61 
2007,20071,0201049,03,"STRIP, QUARY, OPEN PIT",0 ,0 ,0 
2007,20071,0201049,30,MILL OPERATION/PREPARATION PLANT,"27,580 ",0 ,60 
2007,20071,0201049,99,OFFICE WORKERS AT MINE SITE,"23,904 ",0 ,52 
2007,20072,0201049,03,"STRIP, QUARY, OPEN PIT","1,458 ",0 ,4 
2007,20072,0201049,30,MILL OPERATION/PREPARATION PLANT,"50,000 ",0 ,125 
2007,20072,0201049,99,OFFICE WORKERS AT MINE SITE,"43,467 ",0 ,86 
2007,20073,0201049,03,"STRIP, QUARY, OPEN PIT","2,187 ",0 ,6 
2007,20073,0201049,30,MILL OPERATION/PREPARATION PLANT,"109,125 ",0 ,230 
2007,20073,0201049,99,OFFICE WORKERS AT MINE SITE,"33,280 ",0 ,52 
