date,Mine ID,type,hrs
3/31/1989,200137,99,26069
6/30/1989,200137,3,166925
6/30/1989,200137,99,22763
9/30/1989,200137,3,204807
9/30/1989,200137,99,27927
12/31/1989,200137,3,168122
12/31/1989,200137,99,22926
3/31/1988,200137,3,182249
3/31/1988,200137,99,24852
6/30/1988,200137,3,161827
6/30/1988,200137,99,22067
9/30/1988,200137,3,193759
9/30/1988,200137,99,26421
12/31/1988,200137,3,164443
12/31/1988,200137,99,22423
3/31/1987,200137,3,136303
3/31/1987,200137,99,18587
6/30/1987,200137,3,168653
6/30/1987,200137,99,22998
9/30/1987,200137,3,168382
9/30/1987,200137,99,2045
12/31/1987,200137,3,202391
12/31/1987,200137,99,2458
3/31/1986,200137,3,122084
3/31/1986,200137,99,16648
6/30/1986,200137,3,150354
6/30/1986,200137,99,20503
9/30/1986,200137,3,131615
9/30/1986,200137,99,17947
12/31/1986,200137,3,172948
12/31/1986,200137,99,20754
3/31/1985,200137,3,33921
3/31/1985,200137,99,4626
6/30/1985,200137,3,103413
6/30/1985,200137,99,14102
9/30/1985,200137,3,138440
9/30/1985,200137,99,16927
12/31/1985,200137,3,122357
12/31/1985,200137,99,16685
3/31/1984,200137,3,160816
3/31/1984,200137,99,14473
6/30/1984,200137,3,24350
6/30/1984,200137,99,3840
9/30/1984,200137,3,42219
9/30/1984,200137,99,6309
12/31/1984,200137,3,102025
12/31/1984,200137,99,13913
3/31/1983,200137,3,288256
3/31/1983,200137,99,7680
6/30/1983,200137,3,305240
6/30/1983,200137,99,9880
9/30/1983,200137,3,426880
9/30/1983,200137,99,12512
12/31/1983,200137,3,407744
12/31/1983,200137,99,10304
