,ActivityMediaSubdivisionName,ActivityStartDate,MonitoringLocationIdentifier,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,CharacteristicName,ResultMeasureValue
2007,Surface Water,2020-03-11,AZDEQ_SW-586,31.8689389,-109.2371192,Magnesium,
1410,Surface Water,2020-11-24,AZDEQ_SW-603,33.7381667,-109.0706944,Magnesium,11.0
1418,Surface Water,2021-05-07,AZDEQ_SW-61706,34.436924,-112.367036,Magnesium,11.0
1419,Surface Water,2021-05-07,AZDEQ_SW-61706,34.436924,-112.367036,Magnesium,11.0
1398,Surface Water,2020-05-01,AZDEQ_SW-61759,34.43641,-112.36469,Magnesium,12.0
1425,Surface Water,2020-05-01,AZDEQ_SW-61759,34.43641,-112.36469,Magnesium,11.0
1843,Surface Water,2020-03-11,AZDEQ_SW-61788,33.35729,-110.9699,Magnesium,2.7
1844,Surface Water,2020-03-11,AZDEQ_SW-61788,33.35729,-110.9699,Magnesium,2.7
1845,Surface Water,2020-03-11,AZDEQ_SW-61788,33.35729,-110.9699,Magnesium,2.7
1857,Surface Water,2020-03-11,AZDEQ_SW-61788,33.35729,-110.9699,Magnesium,2.6
1858,Surface Water,2020-03-11,AZDEQ_SW-61788,33.35729,-110.9699,Magnesium,2.6
1859,Surface Water,2020-03-11,AZDEQ_SW-61788,33.35729,-110.9699,Magnesium,2.6
1874,Surface Water,2020-03-11,AZDEQ_SW-61788,33.35729,-110.9699,Magnesium,2.4
1875,Surface Water,2020-03-11,AZDEQ_SW-61788,33.35729,-110.9699,Magnesium,2.4
1882,Surface Water,2020-03-11,AZDEQ_SW-61788,33.35729,-110.9699,Magnesium,2.3
1885,Surface Water,2020-03-11,AZDEQ_SW-61788,33.35729,-110.9699,Magnesium,2.2
1077,Surface Water,2020-05-18,AZDEQ_SW-61935,31.499,-110.816,Magnesium,27.0
1078,Surface Water,2020-05-18,AZDEQ_SW-61935,31.499,-110.816,Magnesium,27.0
1667,Surface Water,2020-03-11,AZDEQ_SW-61977,33.356302,-110.968994,Magnesium,4.8
1695,Surface Water,2020-03-11,AZDEQ_SW-61977,33.356302,-110.968994,Magnesium,4.6
1324,Surface Water,2020-01-15,AZDEQ_SW-62031,34.05594,-112.16056,Magnesium,17.0
1229,Surface Water,2020-02-04,AZDEQ_SW-62031,34.05594,-112.16056,Magnesium,21.0
1294,Surface Water,2020-01-23,AZDEQ_SW-62117,31.48388,-110.71364,Magnesium,19.0
1295,Surface Water,2020-01-23,AZDEQ_SW-62117,31.48388,-110.71364,Magnesium,19.0
1296,Surface Water,2020-01-23,AZDEQ_SW-62117,31.48388,-110.71364,Magnesium,19.0
1312,Surface Water,2020-01-23,AZDEQ_SW-62117,31.48388,-110.71364,Magnesium,18.0
1356,Surface Water,2020-01-24,AZDEQ_SW-62119,33.32397,-110.9151,Magnesium,14.0
1377,Surface Water,2020-01-24,AZDEQ_SW-62119,33.32397,-110.9151,Magnesium,13.0
1375,Surface Water,2020-03-11,AZDEQ_SW-62119,33.32397,-110.9151,Magnesium,13.0
1376,Surface Water,2020-03-11,AZDEQ_SW-62119,33.32397,-110.9151,Magnesium,13.0
1400,Surface Water,2020-03-11,AZDEQ_SW-62119,33.32397,-110.9151,Magnesium,12.0
1427,Surface Water,2020-03-11,AZDEQ_SW-62119,33.32397,-110.9151,Magnesium,11.0
1518,Surface Water,2020-01-23,AZDEQ_SW-62146,31.484677,-110.719924,Magnesium,6.8
1527,Surface Water,2020-01-23,AZDEQ_SW-62146,31.484677,-110.719924,Magnesium,6.6
1836,Surface Water,2020-01-23,AZDEQ_SW-62158,31.48477,-110.72054,Magnesium,2.8
1848,Surface Water,2020-01-23,AZDEQ_SW-62158,31.48477,-110.72054,Magnesium,2.7
363,Surface Water,2020-08-01,AZDEQ_SW-62212,31.496,-110.811,Magnesium,79.0
427,Surface Water,2020-08-01,AZDEQ_SW-62212,31.496,-110.811,Magnesium,69.0
651,Surface Water,2020-08-01,AZDEQ_SW-62212,31.496,-110.811,Magnesium,48.0
664,Surface Water,2020-08-01,AZDEQ_SW-62212,31.496,-110.811,Magnesium,47.0
1798,Surface Water,2020-08-01,AZDEQ_SW-62212,31.496,-110.811,Magnesium,3.2
1799,Surface Water,2020-08-01,AZDEQ_SW-62212,31.496,-110.811,Magnesium,3.2
1862,Surface Water,2020-08-01,AZDEQ_SW-62212,31.496,-110.811,Magnesium,2.6
2010,Surface Water,2020-08-01,AZDEQ_SW-62212,31.496,-110.811,Magnesium,
1519,Surface Water,2021-03-23,AZDEQ_SW-62222,34.418204,-112.418169,Magnesium,6.8
1528,Surface Water,2021-03-23,AZDEQ_SW-62222,34.418204,-112.418169,Magnesium,6.6
1001,Surface Water,2021-05-07,AZDEQ_SW-62222,34.418204,-112.418169,Magnesium,31.0
1022,Surface Water,2021-05-07,AZDEQ_SW-62222,34.418204,-112.418169,Magnesium,30.0
1696,Surface Water,2021-03-23,AZDEQ_SW-62328,34.417299,-112.417531,Magnesium,4.6
1707,Surface Water,2021-03-23,AZDEQ_SW-62328,34.417299,-112.417531,Magnesium,4.5
1754,Surface Water,2020-08-01,AZDEQ_SW-62362,31.476056,-110.771667,Magnesium,3.9
1823,Surface Water,2020-08-01,AZDEQ_SW-62362,31.476056,-110.771667,Magnesium,3.0
1877,Surface Water,2020-08-01,AZDEQ_SW-62362,31.476056,-110.771667,Magnesium,2.4
2011,Surface Water,2020-08-01,AZDEQ_SW-62362,31.476056,-110.771667,Magnesium,
2013,Surface Water,2020-08-01,AZDEQ_SW-62362,31.476056,-110.771667,Magnesium,
2014,Surface Water,2020-08-01,AZDEQ_SW-62362,31.476056,-110.771667,Magnesium,
2015,Surface Water,2020-08-01,AZDEQ_SW-62362,31.476056,-110.771667,Magnesium,
2017,Surface Water,2020-08-01,AZDEQ_SW-62362,31.476056,-110.771667,Magnesium,
2016,Surface Water,2020-08-05,AZDEQ_SW-62362,31.476056,-110.771667,Magnesium,
1439,Surface Water,2020-01-23,AZDEQ_SW-62368,31.484622,-110.718604,Magnesium,10.0
1443,Surface Water,2020-01-23,AZDEQ_SW-62368,31.484622,-110.718604,Magnesium,9.9
1024,Surface Water,2020-03-10,AZDEQ_SW-62370,31.494384,-110.706089,Magnesium,30.0
1061,Surface Water,2020-03-10,AZDEQ_SW-62370,31.494384,-110.706089,Magnesium,28.0
191,Surface Water,2020-03-10,AZDEQ_SW-62371,31.494565,-110.706084,Magnesium,120.0
192,Surface Water,2020-03-10,AZDEQ_SW-62371,31.494565,-110.706084,Magnesium,120.0
237,Surface Water,2020-03-10,AZDEQ_SW-62371,31.494565,-110.706084,Magnesium,110.0
265,Surface Water,2020-03-10,AZDEQ_SW-62371,31.494565,-110.706084,Magnesium,100.0
1300,Surface Water,2020-02-19,AZDEQ_SW-62402,32.750703,-110.479004,Magnesium,19.0
1301,Surface Water,2020-02-19,AZDEQ_SW-62402,32.750703,-110.479004,Magnesium,19.0
1345,Surface Water,2020-03-10,AZDEQ_SW-62420,31.48465,-110.70937,Magnesium,15.0
1346,Surface Water,2020-03-10,AZDEQ_SW-62420,31.48465,-110.70937,Magnesium,15.0
293,Surface Water,2020-03-10,AZDEQ_SW-62421,31.50621,-110.70522,Magnesium,91.0
298,Surface Water,2020-03-10,AZDEQ_SW-62421,31.50621,-110.70522,Magnesium,90.0
1626,Surface Water,2020-03-19,AZDEQ_SW-62726,33.21775,-110.99525,Magnesium,5.2
1653,Surface Water,2020-03-19,AZDEQ_SW-62727,33.214711,-110.995508,Magnesium,5.0
1761,Surface Water,2020-02-26,AZDEQ_SW-63,35.2419444,-112.1869444,Magnesium,3.6
1768,Surface Water,2020-02-26,AZDEQ_SW-63,35.2419444,-112.1869444,Magnesium,3.5
784,Surface Water,2020-01-15,AZDEQ_SW-670,34.3140572,-112.0614064,Magnesium,40.0
819,Surface Water,2020-01-15,AZDEQ_SW-670,34.3140572,-112.0614064,Magnesium,39.0
720,Surface Water,2020-02-04,AZDEQ_SW-670,34.3140572,-112.0614064,Magnesium,43.0
1495,Surface Water,2020-07-21,AZDEQ_SW-681,32.91102,-110.5503894,Magnesium,7.4
1496,Surface Water,2020-07-21,AZDEQ_SW-681,32.91102,-110.5503894,Magnesium,7.4
1417,Surface Water,2020-01-07,AZDEQ_SW-695,33.8284236,-110.857095,Magnesium,11.0
1493,Surface Water,2020-02-18,AZDEQ_SW-707,34.3789003,-111.1755372,Magnesium,7.4
1893,Surface Water,2020-01-22,AZDEQ_SW-718,32.6518831,-109.9251794,Magnesium,1.8
1894,Surface Water,2020-01-22,AZDEQ_SW-718,32.6518831,-109.9251794,Magnesium,1.8
1391,Surface Water,2020-04-07,AZDEQ_SW-763,34.6382778,-113.2120278,Magnesium,12.0
1261,Surface Water,2020-01-28,AZDEQ_SW-829,34.8651667,-112.4294167,Magnesium,20.0
1262,Surface Water,2020-01-28,AZDEQ_SW-829,34.8651667,-112.4294167,Magnesium,20.0
1199,Surface Water,2020-01-28,AZDEQ_SW-830,34.8619444,-112.4327778,Magnesium,22.0
1464,Surface Water,2020-01-28,AZDEQ_SW-831,34.8636111,-112.0772222,Magnesium,9.0
1263,Surface Water,2020-01-28,AZDEQ_SW-832,34.8644444,-112.0833056,Magnesium,20.0
1331,Surface Water,2020-01-28,AZDEQ_SW-839,34.8938889,-112.2133333,Magnesium,16.0
886,Surface Water,2020-11-14,AZDEQ_SW-874,34.4625278,-113.6243889,Magnesium,36.0
1930,Surface Water,2020-03-19,AZDEQ_SW-995,33.2765847,-111.0277553,Magnesium,1.4
1392,Surface Water,2020-02-18,AZDEQ_SW-996,34.42092,-111.26352,Magnesium,12.0
236,,2020-02-11,FMYN_WQX-CW1,33.56979,111.70843,Magnesium,110.0
1250,,2020-01-15,FMYN_WQX-VR1,33.71378,111.652,Magnesium,20.1
